A
t S I R
56.6 77.9478 107.162 214.89
56.7 77.9909 107.147 214.862
56.8 78.034 107.133 214.833
56.9 78.0773 107.118 214.805
57 78.1207 107.103 214.776
57.1 78.1641 107.088 214.748
57.2 78.2077 107.073 214.719
57.3 78.2513 107.058 214.691
57.4 78.2951 107.043 214.662
57.5 78.3389 107.028 214.633
57.6 78.3829 107.013 214.604
57.7 78.427 106.998 214.575
57.8 78.4711 106.983 214.546
57.9 78.5154 106.967 214.517
58 78.5597 106.952 214.488
58.1 78.6042 106.937 214.459
58.2 78.6487 106.922 214.43
58.3 78.6934 106.906 214.4
58.4 78.7381 106.891 214.371
58.5 78.783 106.876 214.342
58.6 78.8279 106.86 214.312
58.7 78.873 106.845 214.282
58.8 78.9181 106.829 214.253
58.9 78.9634 106.814 214.223
59 79.0087 106.798 214.193
59.1 79.0542 106.782 214.163
59.2 79.0998 106.767 214.133
59.3 79.1454 106.751 214.103
59.4 79.1912 106.735 214.073
59.5 79.237 106.72 214.043
59.6 79.283 106.704 214.013
59.7 79.3291 106.688 213.983
59.8 79.3752 106.672 213.952
59.9 79.4215 106.656 213.922
60 79.4679 106.641 213.892
60.1 79.5143 106.625 213.861
60.2 79.5609 106.609 213.83
60.3 79.6076 106.593 213.8
60.4 79.6544 106.577 213.769
60.5 79.7012 106.56 213.738
60.6 79.7482 106.544 213.707
60.7 79.7953 106.528 213.676
60.8 79.8425 106.512 213.645
60.9 79.8898 106.496 213.614
61 79.9372 106.48 213.583
61.1 79.9847 106.463 213.552
61.2 80.0323 106.447 213.521
61.3 80.08 106.431 213.489
61.4 80.1278 106.414 213.458
61.5 80.1757 106.398 213.427
61.6 80.2237 106.381 213.395
61.7 80.2719 106.365 213.363
61.8 80.3201 106.348 213.332
61.9 80.3684 106.332 213.3
62 80.4169 106.315 213.268
62.1 80.4654 106.298 213.236
62.2 80.514 106.282 213.204
62.3 80.5628 106.265 213.172
62.4 80.6117 106.248 213.14
62.5 80.6606 106.231 213.108
62.6 80.7097 106.215 213.076
62.7 80.7589 106.198 213.043
62.8 80.8081 106.181 213.011
62.9 80.8575 106.164 212.978
63 80.907 106.147 212.946
63.1 80.9566 106.13 212.913
63.2 81.0063 106.113 212.881
63.3 81.0561 106.096 212.848
63.4 81.106 106.079 212.815
63.5 81.156 106.062 212.782
63.6 81.2062 106.045 212.749
63.7 81.2564 106.027 212.716
63.8 81.3067 106.01 212.683
63.9 81.3572 105.993 212.65
64 81.4077 105.975 212.617
64.1 81.4584 105.958 212.584
64.2 81.5092 105.941 212.55
64.3 81.56 105.923 212.517
64.4 81.611 105.906 212.483
64.5 81.6621 105.888 212.45
64.6 81.7133 105.871 212.416
64.7 81.7646 105.853 212.382
64.8 81.816 105.836 212.348
64.9 81.8676 105.818 212.315
65 81.9192 105.8 212.281
65.1 81.9709 105.782 212.247
65.2 82.0228 105.765 212.213
65.3 82.0747 105.747 212.178
65.4 82.1268 105.729 212.144
65.5 82.179 105.711 212.11
65.6 82.2313 105.693 212.075
65.7 82.2837 105.675 212.041
65.8 82.3362 105.657 212.007
65.9 82.3888 105.639 211.972
66 82.4415 105.621 211.937
66.1 82.4943 105.603 211.903
66.2 82.5473 105.585 211.868
66.3 82.6003 105.567 211.833
66.4 82.6535 105.549 211.798
66.5 82.7068 105.53 211.763
66.6 82.7602 105.512 211.728
66.7 82.8137 105.494 211.693
66.8 82.8673 105.475 211.657
66.9 82.921 105.457 211.622
67 82.9748 105.439 211.587
67.1 83.0288 105.42 211.551
67.2 83.0828 105.402 211.516
67.3 83.137 105.383 211.48
67.4 83.1912 105.364 211.444
67.5 83.2456 105.346 211.409
67.6 83.3001 105.327 211.373
67.7 83.3547 105.309 211.337
67.8 83.4095 105.29 211.301
67.9 83.4643 105.271 211.265
68 83.5193 105.252 211.229
68.1 83.5743 105.233 211.192
68.2 83.6295 105.214 211.156
68.3 83.6848 105.196 211.12
68.4 83.7402 105.177 211.083
68.5 83.7957 105.158 211.047
68.6 83.8513 105.138 211.01
68.7 83.9071 105.119 210.974
68.8 83.9629 105.1 210.937
68.9 84.0189 105.081 210.9
69 84.075 105.062 210.863
69.1 84.1312 105.043 210.826
69.2 84.1875 105.023 210.789
69.3 84.2439 105.004 210.752
69.4 84.3004 104.985 210.715
69.5 84.3571 104.965 210.678
69.6 84.4139 104.946 210.64
69.7 84.4708 104.926 210.603
69.8 84.5278 104.907 210.565
69.9 84.5849 104.887 210.528
70 84.6421 104.868 210.49
70.1 84.6994 104.848 210.452
70.2 84.7569 104.829 210.415
70.3 84.8145 104.809 210.377
70.4 84.8722 104.789 210.339
70.5 84.93 104.769 210.301
70.6 84.9879 104.749 210.263
70.7 85.046 104.73 210.224
70.8 85.1041 104.71 210.186
70.9 85.1624 104.69 210.148
71 85.2208 104.67 210.109
71.1 85.2793 104.65 210.071
71.2 85.3379 104.63 210.032
71.3 85.3967 104.61 209.994
71.4 85.4555 104.589 209.955
71.5 85.5145 104.569 209.916
71.6 85.5736 104.549 209.877
71.7 85.6328 104.529 209.838
71.8 85.6921 104.509 209.799
71.9 85.7516 104.488 209.76
72 85.8112 104.468 209.721
72.1 85.8708 104.447 209.682
72.2 85.9306 104.427 209.642
72.3 85.9906 104.406 209.603
72.4 86.0506 104.386 209.563
72.5 86.1108 104.365 209.524
72.6 86.171 104.345 209.484
72.7 86.2314 104.324 209.444
72.8 86.292 104.303 209.405
72.9 86.3526 104.283 209.365
73 86.4134 104.262 209.325
73.1 86.4742 104.241 209.285
73.2 86.5352 104.22 209.245
73.3 86.5964 104.199 209.204
73.4 86.6576 104.178 209.164
73.5 86.7189 104.157 209.124
73.6 86.7804 104.136 209.083
73.7 86.842 104.115 209.043
73.8 86.9037 104.094 209.002
73.9 86.9656 104.073 208.961
74 87.0275 104.052 208.921
74.1 87.0896 104.031 208.88
74.2 87.1518 104.009 208.839
74.3 87.2142 103.988 208.798
74.4 87.2766 103.967 208.757
74.5 87.3392 103.945 208.716
74.6 87.4019 103.924 208.674
74.7 87.4647 103.902 208.633
74.8 87.5276 103.881 208.592
74.9 87.5907 103.859 208.55
75 87.6539 103.838 208.508
75.1 87.7172 103.816 208.467
75.2 87.7806 103.794 208.425
75.3 87.8441 103.773 208.383
75.4 87.9078 103.751 208.341
75.5 87.9716 103.729 208.299
75.6 88.0355 103.707 208.257
75.7 88.0996 103.685 208.215
75.8 88.1637 103.663 208.173
75.9 88.228 103.641 208.131
76 88.2925 103.619 208.088
76.1 88.357 103.597 208.046
76.2 88.4217 103.575 208.003
76.3 88.4864 103.553 207.961
76.4 88.5514 103.531 207.918
76.5 88.6164 103.509 207.875
76.6 88.6816 103.486 207.832
76.7 88.7468 103.464 207.789
76.8 88.8123 103.442 207.746
76.9 88.8778 103.419 207.703
77 88.9435 103.397 207.66
77.1 89.0092 103.374 207.616
77.2 89.0752 103.352 207.573
77.3 89.1412 103.329 207.53
77.4 89.2074 103.307 207.486
77.5 89.2737 103.284 207.442
77.6 89.3401 103.261 207.399
77.7 89.4066 103.239 207.355
77.8 89.4733 103.216 207.311
77.9 89.5401 103.193 207.267
78 89.607 103.17 207.223
78.1 89.6741 103.147 207.179
78.2 89.7413 103.124 207.135
78.3 89.8086 103.101 207.09
78.4 89.876 103.078 207.046
78.5 89.9436 103.055 207.001
78.6 90.0113 103.032 206.957
78.7 90.0791 103.009 206.912
78.8 90.147 102.986 206.867
78.9 90.2151 102.962 206.823
79 90.2833 102.939 206.778
79.1 90.3516 102.916 206.733
79.2 90.4201 102.892 206.688
79.3 90.4887 102.869 206.642
79.4 90.5574 102.845 206.597
79.5 90.6263 102.822 206.552
79.6 90.6952 102.798 206.507
79.7 90.7644 102.775 206.461
79.8 90.8336 102.751 206.415
79.9 90.903 102.727 206.37
80 90.9725 102.704 206.324
80.1 91.0421 102.68 206.278
80.2 91.1118 102.656 206.232
80.3 91.1817 102.632 206.186
80.4 91.2518 102.608 206.14
80.5 91.3219 102.584 206.094
80.6 91.3922 102.56 206.048
80.7 91.4626 102.536 206.001
80.8 91.5331 102.512 205.955
80.9 91.6038 102.488 205.908
81 91.6746 102.464 205.862
81.1 91.7455 102.44 205.815
81.2 91.8166 102.415 205.768
81.3 91.8878 102.391 205.721
81.4 91.9591 102.367 205.674
81.5 92.0306 102.342 205.627
81.6 92.1022 102.318 205.58
81.7 92.1739 102.293 205.533
81.8 92.2458 102.269 205.486
81.9 92.3178 102.244 205.438
82 92.3899 102.219 205.391
82.1 92.4622 102.195 205.343
82.2 92.5346 102.17 205.295
82.3 92.6071 102.145 205.248
82.4 92.6797 102.12 205.2
82.5 92.7525 102.096 205.152
82.6 92.8255 102.071 205.104
82.7 92.8985 102.046 205.056
82.8 92.9717 102.021 205.007
82.9 93.045 101.996 204.959
83 93.1185 101.971 204.911
83.1 93.1921 101.946 204.862
83.2 93.2658 101.92 204.814
83.3 93.3397 101.895 204.765
83.4 93.4137 101.87 204.716
83.5 93.4878 101.845 204.668
83.6 93.5621 101.819 204.619
