A
t S I R
3.185 79 109 212
3.1875 80 108 212
3.19 80 109 211
3.1925 80 110 210
3.195 80 110 210
3.1975 79 111 210
3.2 79 110 211
3.2025 79 110 211
3.205 80 110 210
3.2075 80 110 210
3.21 79 111 210
3.2125 80 111 209
3.215 80 111 209
3.2175 80 111 209
3.22 80 111 209
3.2225 80 111 209
3.225 80 111 209
3.2275 80 111 209
3.23 80 111 209
3.2325 80 111 209
3.235 81 111 208
3.2375 81 111 208
3.24 80 112 208
3.2425 80 112 208
3.245 80 112 208
3.2475 80 112 208
3.25 79 112 209
3.2525 79 112 209
3.255 79 112 209
3.2575 78 113 209
3.26 79 112 209
3.2625 79 112 209
3.265 79 111 210
3.2675 78 112 210
3.27 78 111 211
3.2725 77 112 211
3.275 78 111 211
3.2775 78 111 211
3.28 78 112 210
3.2825 78 112 210
3.285 77 112 211
3.2875 78 111 211
3.29 77 112 211
3.2925 77 111 212
3.295 77 111 212
3.2975 76 112 212
3.3 76 112 212
3.3025 76 113 211
3.305 76 113 211
3.3075 76 114 210
3.31 77 113 210
3.3125 78 113 209
3.315 78 112 210
3.3175 78 112 210
3.32 77 113 210
3.3225 77 113 210
